Bin_ID,Sample,Day,Treatment
32_bin.21,P510,27,AF
32_bin.23,P510,27,AF
32_bin.24,P510,27,AF
32_bin.29,P510,27,AF
32_bin.31,P510,27,AF
32_bin.34,P510,27,AF
32_bin.35,P510,27,AF
32_bin.37,P510,27,AF
32_bin.38,P510,27,AF
32_bin.4,P510,27,AF
32_bin.44,P510,27,AF
32_bin.51,P510,27,AF
32_bin.52,P510,27,AF
32_bin.53,P510,27,AF
32_bin.55,P510,27,AF
32_bin.56,P510,27,AF
32_bin.57,P510,27,AF
32_bin.6,P510,27,AF
32_bin.8,P510,27,AF
34_bin.10,P525,27,PC
34_bin.11,P525,27,PC
34_bin.13,P525,27,PC
34_bin.16,P525,27,PC
34_bin.17,P525,27,PC
34_bin.18,P525,27,PC
34_bin.19,P525,27,PC
34_bin.2,P525,27,PC
34_bin.20,P525,27,PC
34_bin.22,P525,27,PC
34_bin.25,P525,27,PC
34_bin.26,P525,27,PC
34_bin.27,P525,27,PC
34_bin.28,P525,27,PC
34_bin.29,P525,27,PC
34_bin.3,P525,27,PC
34_bin.31,P525,27,PC
34_bin.32,P525,27,PC
34_bin.34,P525,27,PC
34_bin.36,P525,27,PC
34_bin.38,P525,27,PC
34_bin.4,P525,27,PC
34_bin.40,P525,27,PC
34_bin.41,P525,27,PC
34_bin.42,P525,27,PC
34_bin.43,P525,27,PC
34_bin.44,P525,27,PC
34_bin.45,P525,27,PC
34_bin.46,P525,27,PC
34_bin.49,P525,27,PC
34_bin.52,P525,27,PC
34_bin.57,P525,27,PC
34_bin.7,P525,27,PC
34_bin.8,P525,27,PC
35_bin.3,P530,27,NC
35_bin.8,P530,27,NC
35_bin.9,P530,27,NC
36_bin.12,P605,33,AB
36_bin.19,P605,33,AB
36_bin.2,P605,33,AB
36_bin.21,P605,33,AB
36_bin.22,P605,33,AB
36_bin.24,P605,33,AB
36_bin.25,P605,33,AB
36_bin.26,P605,33,AB
36_bin.3,P605,33,AB
36_bin.30,P605,33,AB
36_bin.31,P605,33,AB
36_bin.32,P605,33,AB
36_bin.38,P605,33,AB
36_bin.39,P605,33,AB
36_bin.43,P605,33,AB
36_bin.44,P605,33,AB
36_bin.45,P605,33,AB
36_bin.46,P605,33,AB
36_bin.47,P605,33,AB
36_bin.48,P605,33,AB
36_bin.6,P605,33,AB
36_bin.7,P605,33,AB
36_bin.9,P605,33,AB
37_bin.11,P610,33,AF
37_bin.14,P610,33,AF
37_bin.17,P610,33,AF
37_bin.2,P610,33,AF
37_bin.31,P610,33,AF
37_bin.32,P610,33,AF
37_bin.33,P610,33,AF
37_bin.38,P610,33,AF
37_bin.39,P610,33,AF
37_bin.40,P610,33,AF
37_bin.48,P610,33,AF
37_bin.49,P610,33,AF
37_bin.5,P610,33,AF
37_bin.52,P610,33,AF
37_bin.55,P610,33,AF
37_bin.57,P610,33,AF
37_bin.58,P610,33,AF
37_bin.59,P610,33,AF
37_bin.60,P610,33,AF
37_bin.7,P610,33,AF
38_bin.1,P615,33,AB+AF
38_bin.10,P615,33,AB+AF
38_bin.12,P615,33,AB+AF
38_bin.15,P615,33,AB+AF
38_bin.18,P615,33,AB+AF
38_bin.2,P615,33,AB+AF
38_bin.22,P615,33,AB+AF
38_bin.23,P615,33,AB+AF
38_bin.24,P615,33,AB+AF
38_bin.26,P615,33,AB+AF
38_bin.28,P615,33,AB+AF
38_bin.29,P615,33,AB+AF
38_bin.3,P615,33,AB+AF
38_bin.31,P615,33,AB+AF
38_bin.32,P615,33,AB+AF
38_bin.35,P615,33,AB+AF
38_bin.36,P615,33,AB+AF
38_bin.38,P615,33,AB+AF
38_bin.40,P615,33,AB+AF
38_bin.42,P615,33,AB+AF
38_bin.43,P615,33,AB+AF
38_bin.44,P615,33,AB+AF
38_bin.45,P615,33,AB+AF
38_bin.48,P615,33,AB+AF
38_bin.5,P615,33,AB+AF
38_bin.52,P615,33,AB+AF
38_bin.54,P615,33,AB+AF
38_bin.7,P615,33,AB+AF
38_bin.9,P615,33,AB+AF
39_bin.11,P625,33,PC
39_bin.13,P625,33,PC
39_bin.15,P625,33,PC
39_bin.16,P625,33,PC
39_bin.18,P625,33,PC
39_bin.19,P625,33,PC
39_bin.2,P625,33,PC
39_bin.20,P625,33,PC
39_bin.23,P625,33,PC
39_bin.24,P625,33,PC
39_bin.25,P625,33,PC
39_bin.29,P625,33,PC
39_bin.31,P625,33,PC
39_bin.33,P625,33,PC
39_bin.35,P625,33,PC
39_bin.36,P625,33,PC
39_bin.40,P625,33,PC
39_bin.43,P625,33,PC
39_bin.46,P625,33,PC
39_bin.48,P625,33,PC
39_bin.49,P625,33,PC
39_bin.50,P625,33,PC
39_bin.51,P625,33,PC
39_bin.52,P625,33,PC
39_bin.53,P625,33,PC
39_bin.55,P625,33,PC
39_bin.56,P625,33,PC
39_bin.57,P625,33,PC
39_bin.58,P625,33,PC
39_bin.59,P625,33,PC
39_bin.6,P625,33,PC
39_bin.7,P625,33,PC
39_bin.9,P625,33,PC
4_bin.10,210R1,9,AF
4_bin.11,210R1,9,AF
4_bin.13,210R1,9,AF
4_bin.16,210R1,9,AF
4_bin.17,210R1,9,AF
4_bin.20,210R1,9,AF
4_bin.6,210R1,9,AF
4_bin.7,210R1,9,AF
4_bin.8,210R1,9,AF
4_bin.9,210R1,9,AF
40_bin.5,P630,33,NC
40_bin.6,P630,33,NC
41_bin.17,P705,42,AB
41_bin.2,P705,42,AB
41_bin.21,P705,42,AB
41_bin.23,P705,42,AB
41_bin.25,P705,42,AB
41_bin.26,P705,42,AB
41_bin.27,P705,42,AB
41_bin.29,P705,42,AB
41_bin.3,P705,42,AB
41_bin.32,P705,42,AB
41_bin.34,P705,42,AB
41_bin.35,P705,42,AB
41_bin.36,P705,42,AB
41_bin.37,P705,42,AB
41_bin.38,P705,42,AB
41_bin.42,P705,42,AB
41_bin.43,P705,42,AB
41_bin.46,P705,42,AB
41_bin.48,P705,42,AB
41_bin.5,P705,42,AB
41_bin.50,P705,42,AB
41_bin.52,P705,42,AB
41_bin.55,P705,42,AB
41_bin.58,P705,42,AB
41_bin.6,P705,42,AB
41_bin.60,P705,42,AB
41_bin.61,P705,42,AB
41_bin.62,P705,42,AB
41_bin.64,P705,42,AB
41_bin.65,P705,42,AB
41_bin.66,P705,42,AB
41_bin.7,P705,42,AB
41_bin.71,P705,42,AB
41_bin.72,P705,42,AB
41_bin.73,P705,42,AB
41_bin.74,P705,42,AB
41_bin.76,P705,42,AB
42_bin.11,P710,42,AF
42_bin.13,P710,42,AF
42_bin.14,P710,42,AF
42_bin.16,P710,42,AF
42_bin.18,P710,42,AF
42_bin.19,P710,42,AF
42_bin.2,P710,42,AF
42_bin.20,P710,42,AF
42_bin.21,P710,42,AF
42_bin.24,P710,42,AF
42_bin.26,P710,42,AF
42_bin.28,P710,42,AF
42_bin.32,P710,42,AF
42_bin.34,P710,42,AF
42_bin.36,P710,42,AF
42_bin.37,P710,42,AF
42_bin.38,P710,42,AF
42_bin.42,P710,42,AF
42_bin.47,P710,42,AF
42_bin.50,P710,42,AF
42_bin.52,P710,42,AF
42_bin.53,P710,42,AF
42_bin.54,P710,42,AF
42_bin.6,P710,42,AF
42_bin.62,P710,42,AF
42_bin.65,P710,42,AF
42_bin.9,P710,42,AF
43_bin.11,P715,42,AB+AF
43_bin.18,P715,42,AB+AF
43_bin.21,P715,42,AB+AF
43_bin.22,P715,42,AB+AF
43_bin.24,P715,42,AB+AF
43_bin.25,P715,42,AB+AF
43_bin.28,P715,42,AB+AF
43_bin.30,P715,42,AB+AF
43_bin.34,P715,42,AB+AF
43_bin.35,P715,42,AB+AF
43_bin.37,P715,42,AB+AF
43_bin.39,P715,42,AB+AF
43_bin.4,P715,42,AB+AF
43_bin.42,P715,42,AB+AF
43_bin.43,P715,42,AB+AF
43_bin.46,P715,42,AB+AF
43_bin.47,P715,42,AB+AF
43_bin.50,P715,42,AB+AF
43_bin.51,P715,42,AB+AF
43_bin.56,P715,42,AB+AF
43_bin.58,P715,42,AB+AF
43_bin.59,P715,42,AB+AF
43_bin.60,P715,42,AB+AF
43_bin.7,P715,42,AB+AF
43_bin.8,P715,42,AB+AF
44_bin.12,P725,42,PC
44_bin.15,P725,42,PC
44_bin.16,P725,42,PC
44_bin.17,P725,42,PC
44_bin.20,P725,42,PC
44_bin.21,P725,42,PC
44_bin.22,P725,42,PC
44_bin.24,P725,42,PC
44_bin.25,P725,42,PC
44_bin.27,P725,42,PC
44_bin.29,P725,42,PC
44_bin.3,P725,42,PC
44_bin.30,P725,42,PC
44_bin.35,P725,42,PC
44_bin.36,P725,42,PC
44_bin.4,P725,42,PC
44_bin.41,P725,42,PC
44_bin.42,P725,42,PC
44_bin.44,P725,42,PC
44_bin.45,P725,42,PC
44_bin.47,P725,42,PC
44_bin.5,P725,42,PC
44_bin.50,P725,42,PC
44_bin.52,P725,42,PC
44_bin.53,P725,42,PC
44_bin.6,P725,42,PC
45_bin.1,P730,42,NC
45_bin.11,P730,42,NC
45_bin.12,P730,42,NC
45_bin.16,P730,42,NC
45_bin.21,P730,42,NC
45_bin.5,P730,42,NC
46_bin.12,P805,51,AB
46_bin.18,P805,51,AB
46_bin.19,P805,51,AB
46_bin.20,P805,51,AB
46_bin.21,P805,51,AB
46_bin.22,P805,51,AB
46_bin.25,P805,51,AB
46_bin.27,P805,51,AB
46_bin.28,P805,51,AB
46_bin.30,P805,51,AB
46_bin.32,P805,51,AB
46_bin.33,P805,51,AB
46_bin.4,P805,51,AB
46_bin.40,P805,51,AB
46_bin.42,P805,51,AB
46_bin.43,P805,51,AB
46_bin.5,P805,51,AB
46_bin.51,P805,51,AB
46_bin.52,P805,51,AB
46_bin.53,P805,51,AB
46_bin.54,P805,51,AB
46_bin.56,P805,51,AB
46_bin.59,P805,51,AB
46_bin.60,P805,51,AB
46_bin.62,P805,51,AB
46_bin.64,P805,51,AB
46_bin.67,P805,51,AB
46_bin.68,P805,51,AB
46_bin.70,P805,51,AB
46_bin.72,P805,51,AB
46_bin.73,P805,51,AB
47_bin.13,P810,51,AF
47_bin.18,P810,51,AF
47_bin.20,P810,51,AF
47_bin.22,P810,51,AF
47_bin.25,P810,51,AF
47_bin.27,P810,51,AF
47_bin.28,P810,51,AF
47_bin.29,P810,51,AF
47_bin.3,P810,51,AF
47_bin.30,P810,51,AF
47_bin.31,P810,51,AF
47_bin.32,P810,51,AF
47_bin.37,P810,51,AF
47_bin.4,P810,51,AF
47_bin.40,P810,51,AF
47_bin.46,P810,51,AF
47_bin.47,P810,51,AF
47_bin.51,P810,51,AF
47_bin.53,P810,51,AF
47_bin.54,P810,51,AF
47_bin.55,P810,51,AF
47_bin.58,P810,51,AF
47_bin.6,P810,51,AF
47_bin.61,P810,51,AF
47_bin.62,P810,51,AF
47_bin.63,P810,51,AF
47_bin.64,P810,51,AF
47_bin.65,P810,51,AF
47_bin.66,P810,51,AF
47_bin.67,P810,51,AF
47_bin.68,P810,51,AF
47_bin.69,P810,51,AF
48_bin.1,P815,51,AB+AF
48_bin.10,P815,51,AB+AF
48_bin.11,P815,51,AB+AF
48_bin.12,P815,51,AB+AF
48_bin.13,P815,51,AB+AF
48_bin.18,P815,51,AB+AF
48_bin.2,P815,51,AB+AF
48_bin.20,P815,51,AB+AF
48_bin.25,P815,51,AB+AF
48_bin.26,P815,51,AB+AF
48_bin.27,P815,51,AB+AF
48_bin.29,P815,51,AB+AF
48_bin.32,P815,51,AB+AF
48_bin.35,P815,51,AB+AF
48_bin.38,P815,51,AB+AF
48_bin.39,P815,51,AB+AF
48_bin.40,P815,51,AB+AF
48_bin.42,P815,51,AB+AF
48_bin.48,P815,51,AB+AF
48_bin.49,P815,51,AB+AF
48_bin.5,P815,51,AB+AF
48_bin.50,P815,51,AB+AF
48_bin.54,P815,51,AB+AF
48_bin.56,P815,51,AB+AF
48_bin.57,P815,51,AB+AF
48_bin.58,P815,51,AB+AF
48_bin.6,P815,51,AB+AF
48_bin.64,P815,51,AB+AF
48_bin.65,P815,51,AB+AF
48_bin.66,P815,51,AB+AF
48_bin.67,P815,51,AB+AF
48_bin.68,P815,51,AB+AF
48_bin.7,P815,51,AB+AF
48_bin.72,P815,51,AB+AF
48_bin.74,P815,51,AB+AF
48_bin.76,P815,51,AB+AF
48_bin.77,P815,51,AB+AF
48_bin.8,P815,51,AB+AF
49_bin.10,P825,51,PC
49_bin.100,P825,51,PC
49_bin.15,P825,51,PC
49_bin.17,P825,51,PC
49_bin.21,P825,51,PC
49_bin.22,P825,51,PC
49_bin.24,P825,51,PC
49_bin.25,P825,51,PC
49_bin.26,P825,51,PC
49_bin.3,P825,51,PC
49_bin.31,P825,51,PC
49_bin.33,P825,51,PC
49_bin.36,P825,51,PC
49_bin.4,P825,51,PC
49_bin.41,P825,51,PC
49_bin.46,P825,51,PC
49_bin.47,P825,51,PC
49_bin.50,P825,51,PC
49_bin.52,P825,51,PC
49_bin.53,P825,51,PC
49_bin.57,P825,51,PC
49_bin.58,P825,51,PC
49_bin.59,P825,51,PC
49_bin.60,P825,51,PC
49_bin.64,P825,51,PC
49_bin.68,P825,51,PC
49_bin.70,P825,51,PC
49_bin.75,P825,51,PC
49_bin.76,P825,51,PC
49_bin.77,P825,51,PC
49_bin.80,P825,51,PC
49_bin.81,P825,51,PC
49_bin.83,P825,51,PC
49_bin.84,P825,51,PC
49_bin.86,P825,51,PC
49_bin.89,P825,51,PC
49_bin.90,P825,51,PC
49_bin.91,P825,51,PC
49_bin.94,P825,51,PC
49_bin.95,P825,51,PC
49_bin.98,P825,51,PC
49_bin.99,P825,51,PC
5_bin.11,210R2,9,AF
5_bin.16,210R2,9,AF
5_bin.17,210R2,9,AF
5_bin.19,210R2,9,AF
5_bin.21,210R2,9,AF
5_bin.24,210R2,9,AF
5_bin.25,210R2,9,AF
5_bin.3,210R2,9,AF
5_bin.4,210R2,9,AF
5_bin.5,210R2,9,AF
5_bin.6,210R2,9,AF
5_bin.8,210R2,9,AF
5_bin.9,210R2,9,AF
50_bin.1,P830,51,NC
50_bin.11,P830,51,NC
50_bin.19,P830,51,NC